-61, 299, 54
297, 172, 379
801, -35, 189
927, 11, 212
825, 11, 889
825, 193, 889
1281, 263, 1152
1467, 66, 1323
1362, 155, 1138
988, 196, 1009
786, 238, 1369
-,-,-
143, 68, 1004
218, 44, 1024
174, 45, 1024
141, 95, 1094
152, 79, 1067
152, 79, 1067
219, 33, 1090
449, 29, 1415
583, 19, 1802
578, 77, 1952
578, 77, 1952
417, 263, 1942
319, 421, 1926
440, 515, 1554
990, 126, 880
1156, -177, 436
858, 72, 177
858, 72, 177
360, 267, -209
84, 374, -592
127, 294, -1127
240, 110, -1275
327, 140, -1067
327, 140, -1067
182, 257, -1017
131, 279, -1293
305, 232, -1558
345, 242, -1494
222, 300, -1360
149, 273, -1578
172, 204, -1822
243, 182, -1885
164, 231, -1816
167, 298, -1677
-4, 324, -1544
-4, 324, -1544
-94, 345, -1452
-223, 374, -1579
-250, 378, -1762
-202, 340, -1571
-102, 324, -1422
-351, 457, -1442
-229, 589, -1540
538, 601, -789
1201, 275, 335
1288, 60, 873
1087, -5, 794
1087, -5, 794
1000, -73, 678
959, -69, 756
888, 14, 961
721, 135, 1453
417, 245, 1583
-,-,-
372, 132, 1001
372, 132, 1001
429, 145, 1103
486, 173, 1258
507, 113, 1517
497, 122, 1727
543, 139, 1744
586, 224, 1745
586, 224, 1745
576, 339, 1603
509, 350, 1178
403, 209, 716
509, 5, 541
624, 2, 565
624, 2, 565
492, 150, 346
206, 335, 31
-71, 488, -241
-71, 488, -241
-67, 442, -875
-54, 268, -1534
-173, 279, -1312
-70, 324, -910
182, 264, -996
457, 153, -1339
605, 101, -1548
554, 107, -1473
528, 132, -1484
528, 132, -1484
510, 128, -1651
379, 152, -1826
267, 219, -1723
90, 275, -1641
37, 322, -1662
42, 294, -1786
-116, 385, -1685
-209, 509, -1514
-115, 529, -1312
-98, 637, -902
-98, 637, -902
-67, 714, -432
100, 520, -113
357, 368, -32
744, 278, -151
1110, 181, 49
1593, 9, 509
1593, 9, 509
1911, -6, 963
1628, 85, 1143
1069, 259, 1268
625, 375, 1648
328, 474, 1970
328, 474, 1970
-,-,-
91, 123, 925
228, 24, 949
448, 26, 1371
448, 26, 1371
558, 24, 1689
304, 173, 1652
56, 241, 1384
166, 150, 1645
356, 159, 1871
458, 159, 1355
458, 207, 1355
263, 104, 424
-2, 21, 217
-20, 195, 540
2, 306, 498
2, 306, 498
31, 375, -52
-62, 306, -789
-59, 195, -1171
-59, 195, -1171
108, 283, -809
120, 316, -838
6, 190, -1491
77, 253, -1653
153, 229, -1409
269, 203, -1254
332, 172, -1509
477, 119, -1938
477, 119, -1938
345, 80, -1996
274, 146, -1839
225, 210, -1518
81, 267, -1246
-83, 337, -1200
-261, 352, -1373
-364, 323, -1563
-200, 437, -1342
-171, 445, -1060
-173, 381, -941
-398, 408, -672
-428, 514, -304
-186, 405, -56
-186, 405, -56
0, 299, -26
152, 350, 233
383, 242, 403
475, -48, 440
475, -48, 440
768, -190, 679
906, -251, 926
574, -67, 888
677, 146, 1024
794, 87, 1587
794, 87, 1587
829, 108, 1860
611, 200, 1753
524, 179, 1374
431, 142, 1303
-,-,-
204, 105, 1103
358, 96, 1308
335, 310, 1804
98, 242, 1793
98, 242, 1793
23, 104, 1461
173, 18, 1471
331, -18, 1400
225, 10, 1112
-150, 100, 698
-150, 100, 698
-323, 103, 355
-224, 142, 617
-5, 140, 484
209, 220, 210
179, 225, -197
179, 225, -197
-106, 263, -676
-126, 325, -994
-102, 296, -1063
146, 355, -756
539, 329, -995
468, 294, -1450
367, 290, -1668
322, 320, -1769
238, 325, -1811
184, 306, -1815
184, 306, -1815
249, 266, -1846
232, 291, -1697
53, 335, -1536
23, 419, -1490
-22, 432, -1497
-193, 459, -1599
-201, 512, -1487
-128, 524, -1308
-134, 542, -972
-234, 557, -609
-197, 496, -394
-197, 496, -394
50, 421, -303
103, 300, -97
-10, 265, -40
254, 197, 99
508, 38, 227
508, 38, 227
1013, -205, 363
1248, -259, 545
1011, -134, 1075
1078, -55, 1088
1435, -56, 1360
